Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-12-08 10:58:33.074174,0.05,2022-12-08 10:58:33.075173,1670.0,2022-12-08 10:58:39.150150,2.1015333333333346,2022-12-08 10:58:40.046269,14.739699184499074,2022-12-08 10:58:40.047097,78920.0
2022-12-08 10:58:33.117494,0.04,2022-12-08 10:58:33.132715,2030.0,2022-12-08 10:58:43.670557,0.0715083333333333,2022-12-08 10:58:48.787599,13.53507583459402,2022-12-08 10:58:48.788762,88840.0
2022-12-08 10:58:33.163407,0.05,2022-12-08 10:58:33.181409,1930.0,2022-12-08 10:58:47.447959,2.269825,,,,
2022-12-08 10:58:33.215722,0.06,2022-12-08 10:58:33.221604,1720.0,2022-12-08 10:58:47.744326,0.0371166666666666,,,,
2022-12-08 10:58:33.285649,0.06,2022-12-08 10:58:33.265429,1830.0,2022-12-08 10:58:51.711484,0.0288916666666666,,,,
2022-12-08 10:58:33.386363,0.06,2022-12-08 10:58:33.313042,1760.0,2022-12-08 10:58:55.655501,2.400783333333332,,,,
2022-12-08 10:58:33.439614,0.05,2022-12-08 10:58:33.360968,1780.0,2022-12-08 10:58:59.738800,0.01715,,,,
2022-12-08 10:58:33.488644,0.05,2022-12-08 10:58:33.408985,1950.0,2022-12-08 10:59:03.189656,2.3883333333333336,,,,
2022-12-08 10:58:33.538745,0.05,2022-12-08 10:58:33.456761,1950.0,2022-12-08 10:59:06.132425,0.0184,,,,
2022-12-08 10:58:33.593583,0.05,2022-12-08 10:58:33.506306,1740.0,2022-12-08 10:59:10.500382,2.600458333333333,,,,
2022-12-08 10:58:33.657960,0.06,2022-12-08 10:58:33.556198,1730.0,2022-12-08 10:59:17.520752,2.6388666666666656,,,,
2022-12-08 10:58:33.703206,0.07,2022-12-08 10:58:33.616943,1890.0,,,,,,
2022-12-08 10:58:33.768941,0.05,2022-12-08 10:58:33.675154,1790.0,,,,,,
2022-12-08 10:58:33.815737,0.04,2022-12-08 10:58:33.721358,1650.0,,,,,,
2022-12-08 10:58:33.865336,0.05,2022-12-08 10:58:33.760900,1750.0,,,,,,
2022-12-08 10:58:33.914795,0.06,2022-12-08 10:58:33.808735,1770.0,,,,,,
2022-12-08 10:58:33.964899,0.05,2022-12-08 10:58:33.857243,1860.0,,,,,,
2022-12-08 10:58:34.015501,0.04,2022-12-08 10:58:33.904639,1890.0,,,,,,
2022-12-08 10:58:34.064803,0.05,2022-12-08 10:58:33.952833,1970.0,,,,,,
2022-12-08 10:58:34.113541,0.08,2022-12-08 10:58:34.000732,1970.0,,,,,,
2022-12-08 10:58:34.158579,0.06,2022-12-08 10:58:34.048047,1860.0,,,,,,
2022-12-08 10:58:34.203808,0.06,2022-12-08 10:58:34.097022,1780.0,,,,,,
2022-12-08 10:58:34.249952,0.1,2022-12-08 10:58:34.144530,1600.0,,,,,,
2022-12-08 10:58:34.317588,0.1,2022-12-08 10:58:34.192638,1620.0,,,,,,
2022-12-08 10:58:34.367653,0.09,2022-12-08 10:58:34.240688,1670.0,,,,,,
2022-12-08 10:58:34.413624,0.07,2022-12-08 10:58:34.288802,1590.0,,,,,,
2022-12-08 10:58:34.458774,0.06,2022-12-08 10:58:34.352571,1680.0,,,,,,
2022-12-08 10:58:34.503855,0.06,2022-12-08 10:58:34.399992,1790.0,,,,,,
2022-12-08 10:58:34.551701,0.06,2022-12-08 10:58:34.448762,1760.0,,,,,,
2022-12-08 10:58:34.598010,0.07,2022-12-08 10:58:34.496786,1740.0,,,,,,
2022-12-08 10:58:34.647626,0.09,2022-12-08 10:58:34.544199,1780.0,,,,,,
2022-12-08 10:58:34.713302,0.1,2022-12-08 10:58:34.592412,1950.0,,,,,,
2022-12-08 10:58:34.758778,0.17,2022-12-08 10:58:34.640577,1870.0,,,,,,
2022-12-08 10:58:34.804655,0.05,2022-12-08 10:58:34.688882,1820.0,,,,,,
2022-12-08 10:58:34.849992,0.06,2022-12-08 10:58:34.736475,1800.0,,,,,,
2022-12-08 10:58:34.894974,-0.62,2022-12-08 10:58:34.784493,1740.0,,,,,,
2022-12-08 10:58:34.940720,0.24,2022-12-08 10:58:34.832317,1850.0,,,,,,
2022-12-08 10:58:34.988745,-0.04,2022-12-08 10:58:34.880247,1920.0,,,,,,
2022-12-08 10:58:35.038947,0.25,2022-12-08 10:58:34.928178,1810.0,,,,,,
2022-12-08 10:58:35.095011,0.18,2022-12-08 10:58:34.976419,1830.0,,,,,,
2022-12-08 10:58:35.142497,0.11,2022-12-08 10:58:35.044953,1830.0,,,,,,
2022-12-08 10:58:35.192281,0.11,2022-12-08 10:58:35.088190,1870.0,,,,,,
2022-12-08 10:58:35.237441,0.11,2022-12-08 10:58:35.136165,1910.0,,,,,,
2022-12-08 10:58:35.287250,0.1,2022-12-08 10:58:35.184217,1860.0,,,,,,
2022-12-08 10:58:35.336937,0.65,2022-12-08 10:58:35.232120,1830.0,,,,,,
2022-12-08 10:58:35.388674,4.92,2022-12-08 10:58:35.280156,1770.0,,,,,,
2022-12-08 10:58:35.438523,10.54,2022-12-08 10:58:35.328382,1880.0,,,,,,
2022-12-08 10:58:35.488476,10.7,2022-12-08 10:58:35.376040,1950.0,,,,,,
2022-12-08 10:58:35.539037,14.84,2022-12-08 10:58:35.424186,1830.0,,,,,,
2022-12-08 10:58:35.585150,16.05,2022-12-08 10:58:35.472039,1860.0,,,,,,
2022-12-08 10:58:35.637238,20.96,2022-12-08 10:58:35.519584,1950.0,,,,,,
2022-12-08 10:58:35.687184,30.21,2022-12-08 10:58:35.567962,1770.0,,,,,,
2022-12-08 10:58:35.737979,32.07,2022-12-08 10:58:35.616451,1670.0,,,,,,
2022-12-08 10:58:35.790826,36.11,2022-12-08 10:58:35.663916,1760.0,,,,,,
2022-12-08 10:58:35.840805,42.71,2022-12-08 10:58:35.712618,1790.0,,,,,,
2022-12-08 10:58:35.890906,44.84,2022-12-08 10:58:35.776618,1970.0,,,,,,
2022-12-08 10:58:35.940693,44.27,2022-12-08 10:58:35.824017,2280.0,,,,,,
2022-12-08 10:58:35.990721,46.87,2022-12-08 10:58:35.871824,3170.0,,,,,,
2022-12-08 10:58:36.040826,49.87,2022-12-08 10:58:35.919791,5660.0,,,,,,
2022-12-08 10:58:36.094816,50.46,2022-12-08 10:58:35.968127,10540.0,,,,,,
2022-12-08 10:58:36.140902,51.68,2022-12-08 10:58:36.015786,18250.0,,,,,,
2022-12-08 10:58:36.216738,51.1,2022-12-08 10:58:36.064378,27480.0,,,,,,
2022-12-08 10:58:36.266910,51.75,2022-12-08 10:58:36.111818,36160.0,,,,,,
2022-12-08 10:58:36.314071,52.75,2022-12-08 10:58:36.159611,43830.0,,,,,,
2022-12-08 10:58:36.363505,52.26,2022-12-08 10:58:36.207483,49830.0,,,,,,
2022-12-08 10:58:36.415065,51.57,2022-12-08 10:58:36.255827,53820.0,,,,,,
2022-12-08 10:58:36.473734,50.3,2022-12-08 10:58:36.304026,56660.0,,,,,,
2022-12-08 10:58:36.518915,51.0,2022-12-08 10:58:36.382231,60300.0,,,,,,
2022-12-08 10:58:36.571853,50.83,2022-12-08 10:58:36.416050,62110.0,,,,,,
2022-12-08 10:58:36.617894,51.25,2022-12-08 10:58:36.463664,62900.0,,,,,,
2022-12-08 10:58:36.663955,49.77,2022-12-08 10:58:36.511943,64050.0,,,,,,
2022-12-08 10:58:36.710969,49.85,2022-12-08 10:58:36.559844,64710.0,,,,,,
2022-12-08 10:58:36.756678,48.81,2022-12-08 10:58:36.607898,67970.0,,,,,,
2022-12-08 10:58:36.799235,47.95,2022-12-08 10:58:36.654955,68820.0,,,,,,
2022-12-08 10:58:36.845128,47.36,2022-12-08 10:58:36.703414,67970.0,,,,,,
2022-12-08 10:58:36.890446,47.1,2022-12-08 10:58:36.751284,68420.0,,,,,,
2022-12-08 10:58:36.939201,47.05,2022-12-08 10:58:36.803049,68900.0,,,,,,
2022-12-08 10:58:36.989468,47.64,2022-12-08 10:58:36.860097,69360.0,,,,,,
2022-12-08 10:58:37.038818,47.79,2022-12-08 10:58:36.904495,69600.0,,,,,,
2022-12-08 10:58:37.155570,48.01,2022-12-08 10:58:36.952939,70240.0,,,,,,
2022-12-08 10:58:37.156570,45.89,2022-12-08 10:58:37.007613,70400.0,,,,,,
2022-12-08 10:58:37.184854,44.63,2022-12-08 10:58:37.137607,69920.0,,,,,,
2022-12-08 10:58:37.234792,43.76,2022-12-08 10:58:37.154568,70470.0,,,,,,
2022-12-08 10:58:37.284468,42.34,2022-12-08 10:58:37.169093,70940.0,,,,,,
2022-12-08 10:58:37.335517,40.55,2022-12-08 10:58:37.199102,71430.0,,,,,,
2022-12-08 10:58:37.385966,38.72,2022-12-08 10:58:37.250381,71920.0,,,,,,
2022-12-08 10:58:37.441227,38.29,2022-12-08 10:58:37.304822,72520.0,,,,,,
2022-12-08 10:58:37.493595,38.74,2022-12-08 10:58:37.353054,73790.0,,,,,,
2022-12-08 10:58:37.541951,36.86,2022-12-08 10:58:37.402230,73610.0,,,,,,
2022-12-08 10:58:37.590970,34.94,2022-12-08 10:58:37.439229,72770.0,,,,,,
2022-12-08 10:58:37.637190,30.48,2022-12-08 10:58:37.486596,73940.0,,,,,,
2022-12-08 10:58:37.688675,30.82,2022-12-08 10:58:37.534971,74800.0,,,,,,
2022-12-08 10:58:37.735097,29.68,2022-12-08 10:58:37.582949,74620.0,,,,,,
2022-12-08 10:58:37.784275,28.41,2022-12-08 10:58:37.631135,74700.0,,,,,,
2022-12-08 10:58:37.835150,26.89,2022-12-08 10:58:37.678900,75050.0,,,,,,
2022-12-08 10:58:37.885398,25.84,2022-12-08 10:58:37.726979,76270.0,,,,,,
2022-12-08 10:58:37.943126,25.78,2022-12-08 10:58:37.774942,75830.0,,,,,,
2022-12-08 10:58:37.989976,26.85,2022-12-08 10:58:37.822826,74950.0,,,,,,
2022-12-08 10:58:38.038821,27.55,2022-12-08 10:58:37.892548,75730.0,,,,,,
