Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-12-08 10:41:17.634585,0.14,2022-12-08 10:41:17.652583,3530.0,2022-12-08 10:41:34.330635,1.4748416666666673,2022-12-08 10:41:35.901630,22.691570677530883,2022-12-08 10:41:35.901630,54940.0
2022-12-08 10:41:17.680589,0.12,2022-12-08 10:41:17.694669,3540.0,2022-12-08 10:41:34.536853,0.02525,2022-12-08 10:41:47.831294,21.70007936404533,2022-12-08 10:41:47.832168,55390.0
2022-12-08 10:41:17.726560,0.11,2022-12-08 10:41:17.748563,3540.0,2022-12-08 10:41:46.512966,1.9728333333333337,2022-12-08 10:41:59.810274,23.285196924909798,2022-12-08 10:41:59.811131,50710.0
2022-12-08 10:41:17.772557,0.11,2022-12-08 10:41:17.796556,3310.0,2022-12-08 10:41:58.290255,1.7592083333333337,2022-12-08 10:42:11.293323,23.317326019708556,2022-12-08 10:42:11.294082,49810.0
2022-12-08 10:41:17.820557,0.11,2022-12-08 10:41:17.844555,3390.0,2022-12-08 10:41:58.587006,0.0267833333333333,2022-12-08 10:42:22.059249,24.405494631785277,2022-12-08 10:42:22.060201,48590.0
2022-12-08 10:41:17.870062,0.11,2022-12-08 10:41:17.892995,3660.0,2022-12-08 10:42:10.104315,1.832566666666667,2022-12-08 10:42:32.623099,23.96199812867629,2022-12-08 10:42:32.623099,48960.0
2022-12-08 10:41:17.920009,0.11,2022-12-08 10:41:17.940991,3720.0,2022-12-08 10:42:20.706475,1.7886250000000004,2022-12-08 10:42:43.406310,24.085179639020726,2022-12-08 10:42:43.406987,47690.0
2022-12-08 10:41:17.969992,0.12,2022-12-08 10:41:17.991971,3490.0,2022-12-08 10:42:31.593437,1.902058333333334,2022-12-08 10:42:54.264989,24.263553835894257,2022-12-08 10:42:54.265667,47100.0
2022-12-08 10:41:18.016966,0.12,2022-12-08 10:41:18.037785,3540.0,2022-12-08 10:42:31.746875,0.0260166666666666,2022-12-08 10:43:04.092597,24.2546231333854,2022-12-08 10:43:04.093382,48020.0
2022-12-08 10:41:18.067063,0.13,2022-12-08 10:41:18.087592,3550.0,2022-12-08 10:42:41.993154,2.002241666666667,2022-12-08 10:43:17.235299,23.24104331428729,2022-12-08 10:43:17.235299,47460.0
2022-12-08 10:41:18.116848,0.13,2022-12-08 10:41:18.136041,3550.0,2022-12-08 10:42:52.310313,1.7234416666666676,,,,
2022-12-08 10:41:18.167144,0.12,2022-12-08 10:41:18.186145,3570.0,2022-12-08 10:43:03.061374,1.8104916666666675,,,,
2022-12-08 10:41:18.217139,0.11,2022-12-08 10:41:18.232784,3510.0,2022-12-08 10:43:12.568612,1.9948833333333336,,,,
2022-12-08 10:41:18.269831,0.11,2022-12-08 10:41:18.288936,3690.0,,,,,,
2022-12-08 10:41:18.319935,0.11,2022-12-08 10:41:18.337413,3620.0,,,,,,
2022-12-08 10:41:18.369468,0.12,2022-12-08 10:41:18.386061,3620.0,,,,,,
2022-12-08 10:41:18.419085,0.13,2022-12-08 10:41:18.425841,3630.0,,,,,,
2022-12-08 10:41:18.469126,0.14,2022-12-08 10:41:18.488127,3640.0,,,,,,
2022-12-08 10:41:18.541150,0.15,2022-12-08 10:41:18.533172,3610.0,,,,,,
2022-12-08 10:41:18.586140,0.15,2022-12-08 10:41:18.581134,3610.0,,,,,,
2022-12-08 10:41:18.644205,0.14,2022-12-08 10:41:18.629134,3670.0,,,,,,
2022-12-08 10:41:18.694303,0.13,2022-12-08 10:41:18.676572,3720.0,,,,,,
2022-12-08 10:41:18.743246,0.12,2022-12-08 10:41:18.724312,3770.0,,,,,,
2022-12-08 10:41:18.793245,0.11,2022-12-08 10:41:18.772245,3660.0,,,,,,
2022-12-08 10:41:18.843552,0.11,2022-12-08 10:41:18.820552,3450.0,,,,,,
2022-12-08 10:41:18.893551,0.12,2022-12-08 10:41:18.868556,3460.0,,,,,,
2022-12-08 10:41:18.943560,0.13,2022-12-08 10:41:18.916566,3470.0,,,,,,
2022-12-08 10:41:18.996613,0.13,2022-12-08 10:41:18.964597,3440.0,,,,,,
2022-12-08 10:41:19.042563,0.13,2022-12-08 10:41:19.021568,3480.0,,,,,,
2022-12-08 10:41:19.087718,0.11,2022-12-08 10:41:19.060714,3570.0,,,,,,
2022-12-08 10:41:19.132919,0.1,2022-12-08 10:41:19.108353,3700.0,,,,,,
2022-12-08 10:41:19.241278,0.1,2022-12-08 10:41:19.240276,3590.0,,,,,,
2022-12-08 10:41:19.242289,0.1,2022-12-08 10:41:19.241278,3620.0,,,,,,
2022-12-08 10:41:19.273276,0.11,2022-12-08 10:41:19.268285,3620.0,,,,,,
2022-12-08 10:41:19.321445,0.14,2022-12-08 10:41:19.316421,3660.0,,,,,,
2022-12-08 10:41:19.371737,0.15,2022-12-08 10:41:19.364421,3750.0,,,,,,
2022-12-08 10:41:19.442801,0.13,2022-12-08 10:41:19.412736,3610.0,,,,,,
2022-12-08 10:41:19.493894,0.12,2022-12-08 10:41:19.464890,3530.0,,,,,,
2022-12-08 10:41:19.539342,0.12,2022-12-08 10:41:19.510341,3490.0,,,,,,
2022-12-08 10:41:19.585401,0.12,2022-12-08 10:41:19.565393,3470.0,,,,,,
2022-12-08 10:41:19.630562,0.12,2022-12-08 10:41:19.604428,3540.0,,,,,,
2022-12-08 10:41:19.675975,0.1,2022-12-08 10:41:19.652608,3570.0,,,,,,
2022-12-08 10:41:19.721387,0.11,2022-12-08 10:41:19.700379,3370.0,,,,,,
2022-12-08 10:41:19.771273,0.1,2022-12-08 10:41:19.748063,3330.0,,,,,,
2022-12-08 10:41:19.842447,0.09,2022-12-08 10:41:19.796266,3450.0,,,,,,
2022-12-08 10:41:19.892270,0.14,2022-12-08 10:41:19.862326,3310.0,,,,,,
2022-12-08 10:41:19.942326,0.17,2022-12-08 10:41:19.909331,3400.0,,,,,,
2022-12-08 10:41:19.996329,0.16,2022-12-08 10:41:19.961269,3670.0,,,,,,
2022-12-08 10:41:20.042273,0.11,2022-12-08 10:41:20.014273,3610.0,,,,,,
2022-12-08 10:41:20.088319,0.1,2022-12-08 10:41:20.061273,3490.0,,,,,,
2022-12-08 10:41:20.140903,0.09,2022-12-08 10:41:20.111332,3450.0,,,,,,
2022-12-08 10:41:20.190900,0.1,2022-12-08 10:41:20.158842,3640.0,,,,,,
2022-12-08 10:41:20.241148,0.1,2022-12-08 10:41:20.206459,3690.0,,,,,,
2022-12-08 10:41:20.290924,0.09,2022-12-08 10:41:20.261604,3570.0,,,,,,
2022-12-08 10:41:20.346097,0.09,2022-12-08 10:41:20.296492,3630.0,,,,,,
2022-12-08 10:41:20.394263,0.09,2022-12-08 10:41:20.340046,3390.0,,,,,,
2022-12-08 10:41:20.441885,0.09,2022-12-08 10:41:20.388196,3460.0,,,,,,
2022-12-08 10:41:20.491908,0.12,2022-12-08 10:41:20.436130,3720.0,,,,,,
2022-12-08 10:41:20.537889,0.18,2022-12-08 10:41:20.483884,3630.0,,,,,,
2022-12-08 10:41:20.590994,0.18,2022-12-08 10:41:20.556330,3490.0,,,,,,
2022-12-08 10:41:20.645833,0.16,2022-12-08 10:41:20.606355,3480.0,,,,,,
2022-12-08 10:41:20.696646,0.13,2022-12-08 10:41:20.643569,3550.0,,,,,,
2022-12-08 10:41:20.744361,0.11,2022-12-08 10:41:20.691747,3630.0,,,,,,
2022-12-08 10:41:20.793603,0.1,2022-12-08 10:41:20.739342,3500.0,,,,,,
2022-12-08 10:41:20.844291,0.09,2022-12-08 10:41:20.788243,3310.0,,,,,,
2022-12-08 10:41:20.893724,0.09,2022-12-08 10:41:20.835930,3400.0,,,,,,
2022-12-08 10:41:20.943397,0.09,2022-12-08 10:41:20.884035,3800.0,,,,,,
2022-12-08 10:41:20.994359,0.09,2022-12-08 10:41:20.931968,3750.0,,,,,,
2022-12-08 10:41:21.041121,0.09,2022-12-08 10:41:20.979902,3400.0,,,,,,
2022-12-08 10:41:21.091185,0.12,2022-12-08 10:41:21.027397,3500.0,,,,,,
2022-12-08 10:41:21.145009,0.14,2022-12-08 10:41:21.075190,3540.0,,,,,,
2022-12-08 10:41:21.194503,0.16,2022-12-08 10:41:21.123299,3420.0,,,,,,
2022-12-08 10:41:21.244928,0.16,2022-12-08 10:41:21.172530,3550.0,,,,,,
2022-12-08 10:41:21.294405,0.13,2022-12-08 10:41:21.234928,3640.0,,,,,,
2022-12-08 10:41:21.344405,0.11,2022-12-08 10:41:21.283404,3410.0,,,,,,
2022-12-08 10:41:21.396480,0.1,2022-12-08 10:41:21.331407,3340.0,,,,,,
2022-12-08 10:41:21.442459,0.1,2022-12-08 10:41:21.379403,3310.0,,,,,,
2022-12-08 10:41:21.488584,0.12,2022-12-08 10:41:21.427465,3360.0,,,,,,
2022-12-08 10:41:21.534587,0.12,2022-12-08 10:41:21.475589,3550.0,,,,,,
2022-12-08 10:41:21.588582,0.11,2022-12-08 10:41:21.523583,3510.0,,,,,,
2022-12-08 10:41:21.641639,0.1,2022-12-08 10:41:21.571581,3410.0,,,,,,
2022-12-08 10:41:21.691668,0.1,2022-12-08 10:41:21.619642,3400.0,,,,,,
2022-12-08 10:41:21.741552,0.12,2022-12-08 10:41:21.667628,3470.0,,,,,,
2022-12-08 10:41:21.791681,0.16,2022-12-08 10:41:21.715464,3540.0,,,,,,
2022-12-08 10:41:21.841731,0.16,2022-12-08 10:41:21.765676,3520.0,,,,,,
2022-12-08 10:41:21.891462,0.15,2022-12-08 10:41:21.810732,3560.0,,,,,,
2022-12-08 10:41:21.941873,0.11,2022-12-08 10:41:21.864461,3420.0,,,,,,
2022-12-08 10:41:21.992497,0.09,2022-12-08 10:41:21.922935,3350.0,,,,,,
2022-12-08 10:41:22.038882,0.09,2022-12-08 10:41:21.970877,3500.0,,,,,,
2022-12-08 10:41:22.084999,0.09,2022-12-08 10:41:22.018828,3550.0,,,,,,
2022-12-08 10:41:22.131082,0.14,2022-12-08 10:41:22.066999,3420.0,,,,,,
2022-12-08 10:41:22.176624,0.15,2022-12-08 10:41:22.115082,3330.0,,,,,,
2022-12-08 10:41:22.238529,0.11,2022-12-08 10:41:22.163607,3470.0,,,,,,
2022-12-08 10:41:22.292713,0.09,2022-12-08 10:41:22.211523,3490.0,,,,,,
2022-12-08 10:41:22.337979,0.08,2022-12-08 10:41:22.258734,3300.0,,,,,,
2022-12-08 10:41:22.384022,0.09,2022-12-08 10:41:22.311978,3080.0,,,,,,
2022-12-08 10:41:22.429980,0.1,2022-12-08 10:41:22.356040,3260.0,,,,,,
2022-12-08 10:41:22.476087,0.11,2022-12-08 10:41:22.403977,3450.0,,,,,,
2022-12-08 10:41:22.523879,0.12,2022-12-08 10:41:22.451083,3310.0,,,,,,
2022-12-08 10:41:22.591753,0.13,2022-12-08 10:41:22.499086,3350.0,,,,,,
2022-12-08 10:41:22.637857,0.12,2022-12-08 10:41:22.546712,3350.0,,,,,,
2022-12-08 10:41:22.684004,0.12,2022-12-08 10:41:22.607815,3340.0,,,,,,
2022-12-08 10:41:22.730053,0.12,2022-12-08 10:41:22.658962,3310.0,,,,,,
2022-12-08 10:41:22.775824,0.12,2022-12-08 10:41:22.707008,3310.0,,,,,,
2022-12-08 10:41:22.821738,0.11,2022-12-08 10:41:22.754401,3400.0,,,,,,
2022-12-08 10:41:22.893739,0.11,2022-12-08 10:41:22.802744,3350.0,,,,,,
2022-12-08 10:41:22.943741,0.1,2022-12-08 10:41:22.850740,3370.0,,,,,,
2022-12-08 10:41:22.994737,0.11,2022-12-08 10:41:22.911779,3260.0,,,,,,
2022-12-08 10:41:23.039749,0.12,2022-12-08 10:41:22.959803,3240.0,,,,,,
2022-12-08 10:41:23.092427,0.1,2022-12-08 10:41:22.998740,3370.0,,,,,,
2022-12-08 10:41:23.137507,0.09,2022-12-08 10:41:23.056294,3370.0,,,,,,
2022-12-08 10:41:23.183192,0.09,2022-12-08 10:41:23.090410,3490.0,,,,,,
2022-12-08 10:41:23.229190,0.12,2022-12-08 10:41:23.153420,3270.0,,,,,,
2022-12-08 10:41:23.275203,0.14,2022-12-08 10:41:23.199135,3090.0,,,,,,
2022-12-08 10:41:23.320441,0.13,2022-12-08 10:41:23.246134,3200.0,,,,,,
2022-12-08 10:41:23.391414,0.1,2022-12-08 10:41:23.296201,3300.0,,,,,,
2022-12-08 10:41:23.449038,0.08,2022-12-08 10:41:23.339632,3290.0,,,,,,
2022-12-08 10:41:23.490017,0.08,2022-12-08 10:41:23.407510,3220.0,,,,,,
2022-12-08 10:41:23.536061,0.07,2022-12-08 10:41:23.442617,3270.0,,,,,,
2022-12-08 10:41:23.581272,0.08,2022-12-08 10:41:23.496042,3270.0,,,,,,
2022-12-08 10:41:23.626623,0.1,2022-12-08 10:41:23.558276,3250.0,,,,,,
2022-12-08 10:41:23.672506,0.13,2022-12-08 10:41:23.604355,3290.0,,,,,,
2022-12-08 10:41:23.717795,0.13,2022-12-08 10:41:23.644510,3340.0,,,,,,
2022-12-08 10:41:23.768181,0.09,2022-12-08 10:41:23.686506,3380.0,,,,,,
2022-12-08 10:41:23.817788,0.08,2022-12-08 10:41:23.734180,3350.0,,,,,,
2022-12-08 10:41:23.867789,0.08,2022-12-08 10:41:23.784783,3270.0,,,,,,
2022-12-08 10:41:23.917789,0.08,2022-12-08 10:41:23.835784,3360.0,,,,,,
2022-12-08 10:41:23.992824,0.11,2022-12-08 10:41:23.883784,3300.0,,,,,,
2022-12-08 10:41:24.040390,0.15,2022-12-08 10:41:23.932785,3190.0,,,,,,
2022-12-08 10:41:24.089391,0.13,2022-12-08 10:41:23.970785,3210.0,,,,,,
2022-12-08 10:41:24.143769,0.1,2022-12-08 10:41:24.033806,3120.0,,,,,,
2022-12-08 10:41:24.193766,0.08,2022-12-08 10:41:24.082390,3130.0,,,,,,
2022-12-08 10:41:24.243511,0.09,2022-12-08 10:41:24.129826,3060.0,,,,,,
2022-12-08 10:41:24.293515,0.12,2022-12-08 10:41:24.177767,2950.0,,,,,,
2022-12-08 10:41:24.343514,0.14,2022-12-08 10:41:24.226253,3080.0,,,,,,
2022-12-08 10:41:24.393021,0.14,2022-12-08 10:41:24.273505,3080.0,,,,,,
2022-12-08 10:41:24.445364,0.13,2022-12-08 10:41:24.321515,3000.0,,,,,,
2022-12-08 10:41:24.496360,0.09,2022-12-08 10:41:24.369514,3230.0,,,,,,
2022-12-08 10:41:24.542402,0.07,2022-12-08 10:41:24.418125,3380.0,,,,,,
2022-12-08 10:41:24.588360,0.09,2022-12-08 10:41:24.466319,3420.0,,,,,,
2022-12-08 10:41:24.642007,0.14,2022-12-08 10:41:24.514319,3310.0,,,,,,
2022-12-08 10:41:24.688069,0.16,2022-12-08 10:41:24.561322,3200.0,,,,,,
2022-12-08 10:41:24.733971,0.14,2022-12-08 10:41:24.610034,3140.0,,,,,,
2022-12-08 10:41:24.779093,0.1,2022-12-08 10:41:24.663006,3040.0,,,,,,
2022-12-08 10:41:24.825084,0.08,2022-12-08 10:41:24.708314,3110.0,,,,,,
2022-12-08 10:41:24.872030,0.07,2022-12-08 10:41:24.769547,3120.0,,,,,,
2022-12-08 10:41:24.920090,0.07,2022-12-08 10:41:24.818031,3150.0,,,,,,
2022-12-08 10:41:24.968415,0.08,2022-12-08 10:41:24.866029,3230.0,,,,,,
2022-12-08 10:41:25.023417,0.12,2022-12-08 10:41:24.914028,3290.0,,,,,,
2022-12-08 10:41:25.088721,0.15,2022-12-08 10:41:24.962316,3290.0,,,,,,
2022-12-08 10:41:25.142452,0.14,2022-12-08 10:41:25.009419,3290.0,,,,,,
2022-12-08 10:41:25.192543,0.11,2022-12-08 10:41:25.057716,3240.0,,,,,,
2022-12-08 10:41:25.241969,0.09,2022-12-08 10:41:25.108448,3090.0,,,,,,
2022-12-08 10:41:25.292972,0.09,2022-12-08 10:41:25.170662,3060.0,,,,,,
2022-12-08 10:41:25.343974,0.12,2022-12-08 10:41:25.207950,3010.0,,,,,,
2022-12-08 10:41:25.400909,0.13,2022-12-08 10:41:25.259967,3060.0,,,,,,
2022-12-08 10:41:25.442015,0.12,2022-12-08 10:41:25.309908,3210.0,,,,,,
2022-12-08 10:41:25.488091,0.11,2022-12-08 10:41:25.363966,3230.0,,,,,,
2022-12-08 10:41:25.533366,0.09,2022-12-08 10:41:25.393942,3090.0,,,,,,
2022-12-08 10:41:25.578693,0.09,2022-12-08 10:41:25.457012,3060.0,,,,,,
2022-12-08 10:41:25.624647,0.09,2022-12-08 10:41:25.507789,2940.0,,,,,,
2022-12-08 10:41:25.670510,0.08,2022-12-08 10:41:25.553417,3060.0,,,,,,
2022-12-08 10:41:25.718854,0.08,2022-12-08 10:41:25.601644,3270.0,,,,,,
2022-12-08 10:41:25.768525,0.08,2022-12-08 10:41:25.649523,3140.0,,,,,,
2022-12-08 10:41:25.818532,0.08,2022-12-08 10:41:25.696850,3200.0,,,,,,
2022-12-08 10:41:25.868779,0.08,2022-12-08 10:41:25.745553,3230.0,,,,,,
2022-12-08 10:41:25.918175,0.09,2022-12-08 10:41:25.793531,3080.0,,,,,,
2022-12-08 10:41:25.993337,0.1,2022-12-08 10:41:25.841592,2980.0,,,,,,
2022-12-08 10:41:26.039322,0.11,2022-12-08 10:41:25.889773,2980.0,,,,,,
2022-12-08 10:41:26.087322,0.12,2022-12-08 10:41:25.937172,3010.0,,,,,,
2022-12-08 10:41:26.139616,0.11,2022-12-08 10:41:25.985327,2840.0,,,,,,
2022-12-08 10:41:26.191297,0.08,2022-12-08 10:41:26.033327,2780.0,,,,,,
2022-12-08 10:41:26.246414,0.07,2022-12-08 10:41:26.081326,3020.0,,,,,,
2022-12-08 10:41:26.294419,0.1,2022-12-08 10:41:26.129152,2970.0,,,,,,
2022-12-08 10:41:26.343313,0.09,2022-12-08 10:41:26.197294,2870.0,,,,,,
2022-12-08 10:41:26.392313,0.08,2022-12-08 10:41:26.241471,3080.0,,,,,,
2022-12-08 10:41:26.441313,0.07,2022-12-08 10:41:26.289437,3060.0,,,,,,
2022-12-08 10:41:26.492311,0.07,2022-12-08 10:41:26.337415,2910.0,,,,,,
2022-12-08 10:41:26.541307,0.07,2022-12-08 10:41:26.385308,3010.0,,,,,,
2022-12-08 10:41:26.587404,0.07,2022-12-08 10:41:26.433335,3190.0,,,,,,
2022-12-08 10:41:26.632608,0.07,2022-12-08 10:41:26.481339,3200.0,,,,,,
2022-12-08 10:41:26.678542,0.07,2022-12-08 10:41:26.529255,3100.0,,,,,,
2022-12-08 10:41:26.725666,0.1,2022-12-08 10:41:26.577275,2850.0,,,,,,
2022-12-08 10:41:26.773554,0.13,2022-12-08 10:41:26.624598,2920.0,,,,,,
2022-12-08 10:41:26.816542,0.09,2022-12-08 10:41:26.673541,3050.0,,,,,,
2022-12-08 10:41:26.864455,0.08,2022-12-08 10:41:26.721589,2870.0,,,,,,
2022-12-08 10:41:26.914290,0.07,2022-12-08 10:41:26.768771,2980.0,,,,,,
2022-12-08 10:41:26.964229,0.07,2022-12-08 10:41:26.830011,3070.0,,,,,,
2022-12-08 10:41:27.032623,0.07,2022-12-08 10:41:26.881224,3110.0,,,,,,
2022-12-08 10:41:27.079099,0.09,2022-12-08 10:41:26.934288,3150.0,,,,,,
2022-12-08 10:41:27.128048,0.11,2022-12-08 10:41:26.984226,3020.0,,,,,,
2022-12-08 10:41:27.199101,0.09,2022-12-08 10:41:27.025244,2870.0,,,,,,
2022-12-08 10:41:27.252892,0.06,2022-12-08 10:41:27.072773,2870.0,,,,,,
2022-12-08 10:41:27.302882,0.06,2022-12-08 10:41:27.121049,2850.0,,,,,,
2022-12-08 10:41:27.352065,0.06,2022-12-08 10:41:27.169099,2900.0,,,,,,
2022-12-08 10:41:27.402145,0.06,2022-12-08 10:41:27.220712,2960.0,,,,,,
2022-12-08 10:41:27.451809,0.06,2022-12-08 10:41:27.278961,2920.0,,,,,,
