Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-11-17 08:37:22.897370,0.02,2022-11-17 08:37:22.890367,3150.0,2022-11-17 08:37:32.239877,1.5036250000000002,2022-11-17 08:37:32.821944,29.96141884397999,2022-11-17 08:37:32.821944,38350.0
2022-11-17 08:37:22.944425,-0.02,2022-11-17 08:37:22.938424,3100.0,2022-11-17 08:37:42.052795,1.5061749999999998,2022-11-17 08:37:42.909209,28.70326654963201,2022-11-17 08:37:42.910153,39000.0
2022-11-17 08:37:22.992423,-0.03,2022-11-17 08:37:22.986423,3160.0,2022-11-17 08:37:42.152927,0.0167666666666666,2022-11-17 08:37:51.891201,31.165180496347592,2022-11-17 08:37:51.891201,36390.0
2022-11-17 08:37:23.040369,-0.06,2022-11-17 08:37:23.034432,3380.0,2022-11-17 08:37:51.377085,1.6785,2022-11-17 08:37:59.417567,31.38836647306479,2022-11-17 08:37:59.417567,36080.0
2022-11-17 08:37:23.089406,-0.08,2022-11-17 08:37:23.082370,3410.0,2022-11-17 08:37:58.927448,1.4706,2022-11-17 08:38:06.742004,32.71539637388408,2022-11-17 08:38:06.742004,34460.0
2022-11-17 08:37:23.142140,-0.11,2022-11-17 08:37:23.130200,3330.0,2022-11-17 08:38:06.265063,1.6783499999999991,2022-11-17 08:38:13.906635,33.68732291697464,2022-11-17 08:38:13.907593,33030.0
2022-11-17 08:37:23.192860,-0.11,2022-11-17 08:37:23.177752,3090.0,2022-11-17 08:38:13.365274,1.6012500000000005,2022-11-17 08:38:21.283385,33.91275283328866,2022-11-17 08:38:21.284323,33000.0
2022-11-17 08:37:23.238794,-0.1,2022-11-17 08:37:23.225794,2960.0,2022-11-17 08:38:20.704089,1.2990083333333335,2022-11-17 08:38:28.268070,33.57377387773319,2022-11-17 08:38:28.269067,32990.0
2022-11-17 08:37:23.284797,-0.08,2022-11-17 08:37:23.300142,3010.0,2022-11-17 08:38:27.705595,1.694975,2022-11-17 08:38:36.329449,33.086898123305566,2022-11-17 08:38:36.329449,33980.0
2022-11-17 08:37:23.330143,-0.07,2022-11-17 08:37:23.347197,3140.0,2022-11-17 08:38:35.791341,1.6142166666666662,2022-11-17 08:38:44.693010,33.18735273844003,2022-11-17 08:38:44.693010,33860.0
2022-11-17 08:37:23.390186,-0.07,2022-11-17 08:37:23.385193,3040.0,2022-11-17 08:38:43.088920,1.53245,,,,
2022-11-17 08:37:23.438207,-0.08,2022-11-17 08:37:23.434170,3120.0,,,,,,
2022-11-17 08:37:23.483482,-0.09,2022-11-17 08:37:23.481482,3480.0,,,,,,
2022-11-17 08:37:23.543559,-0.07,2022-11-17 08:37:23.529483,3480.0,,,,,,
2022-11-17 08:37:23.597646,-0.05,2022-11-17 08:37:23.577647,3340.0,,,,,,
2022-11-17 08:37:23.643647,-0.0,2022-11-17 08:37:23.625649,3270.0,,,,,,
2022-11-17 08:37:23.693648,0.08,2022-11-17 08:37:23.674648,3150.0,,,,,,
2022-11-17 08:37:23.748657,0.0,2022-11-17 08:37:23.721653,2960.0,,,,,,
2022-11-17 08:37:23.799688,-0.01,2022-11-17 08:37:23.769647,3070.0,,,,,,
2022-11-17 08:37:23.850708,0.04,2022-11-17 08:37:23.817714,3100.0,,,,,,
2022-11-17 08:37:23.896702,0.02,2022-11-17 08:37:23.867706,3080.0,,,,,,
2022-11-17 08:37:23.942659,0.01,2022-11-17 08:37:23.913681,3180.0,,,,,,
2022-11-17 08:37:23.993654,-0.03,2022-11-17 08:37:23.977648,3030.0,,,,,,
2022-11-17 08:37:24.040678,-0.05,2022-11-17 08:37:24.025657,3060.0,,,,,,
2022-11-17 08:37:24.090692,-0.06,2022-11-17 08:37:24.073647,3170.0,,,,,,
2022-11-17 08:37:24.140715,-0.06,2022-11-17 08:37:24.121647,3220.0,,,,,,
2022-11-17 08:37:24.189687,-0.06,2022-11-17 08:37:24.169646,3230.0,,,,,,
2022-11-17 08:37:24.239694,-0.05,2022-11-17 08:37:24.217648,3170.0,,,,,,
2022-11-17 08:37:24.289687,-0.03,2022-11-17 08:37:24.265645,3110.0,,,,,,
2022-11-17 08:37:24.339201,-0.05,2022-11-17 08:37:24.313659,3240.0,,,,,,
2022-11-17 08:37:24.389696,-0.05,2022-11-17 08:37:24.361668,3320.0,,,,,,
2022-11-17 08:37:24.441694,-0.08,2022-11-17 08:37:24.409689,3270.0,,,,,,
2022-11-17 08:37:24.493728,-0.12,2022-11-17 08:37:24.458736,3260.0,,,,,,
2022-11-17 08:37:24.542678,-0.18,2022-11-17 08:37:24.510728,3150.0,,,,,,
2022-11-17 08:37:24.596813,-0.21,2022-11-17 08:37:24.558673,3060.0,,,,,,
2022-11-17 08:37:24.642809,-0.22,2022-11-17 08:37:24.612758,3120.0,,,,,,
2022-11-17 08:37:24.694797,-0.2,2022-11-17 08:37:24.664836,3070.0,,,,,,
2022-11-17 08:37:24.744815,-0.13,2022-11-17 08:37:24.712855,2990.0,,,,,,
2022-11-17 08:37:24.799063,-0.07,2022-11-17 08:37:24.761122,3150.0,,,,,,
2022-11-17 08:37:24.850131,0.17,2022-11-17 08:37:24.817126,3110.0,,,,,,
2022-11-17 08:37:24.896562,0.34,2022-11-17 08:37:24.865486,3060.0,,,,,,
2022-11-17 08:37:24.942562,0.37,2022-11-17 08:37:24.911483,3080.0,,,,,,
2022-11-17 08:37:24.988525,0.3,2022-11-17 08:37:24.957486,2970.0,,,,,,
2022-11-17 08:37:25.042485,0.1,2022-11-17 08:37:25.005521,2890.0,,,,,,
2022-11-17 08:37:25.092554,-0.05,2022-11-17 08:37:25.059485,3060.0,,,,,,
2022-11-17 08:37:25.142549,-0.07,2022-11-17 08:37:25.109541,3200.0,,,,,,
2022-11-17 08:37:25.200035,-0.06,2022-11-17 08:37:25.159498,3070.0,,,,,,
2022-11-17 08:37:25.247346,-0.06,2022-11-17 08:37:25.193520,3090.0,,,,,,
2022-11-17 08:37:25.295393,-0.06,2022-11-17 08:37:25.241416,3200.0,,,,,,
2022-11-17 08:37:25.346347,0.09,2022-11-17 08:37:25.313389,3210.0,,,,,,
2022-11-17 08:37:25.392387,0.31,2022-11-17 08:37:25.362347,3060.0,,,,,,
2022-11-17 08:37:25.438416,0.35,2022-11-17 08:37:25.409403,2880.0,,,,,,
2022-11-17 08:37:25.489926,0.01,2022-11-17 08:37:25.456828,2950.0,,,,,,
2022-11-17 08:37:25.539893,-0.05,2022-11-17 08:37:25.506914,3080.0,,,,,,
2022-11-17 08:37:25.590462,-0.03,2022-11-17 08:37:25.555421,3250.0,,,,,,
2022-11-17 08:37:25.647908,-0.02,2022-11-17 08:37:25.597164,3180.0,,,,,,
2022-11-17 08:37:25.694846,0.15,2022-11-17 08:37:25.641169,2960.0,,,,,,
2022-11-17 08:37:25.742260,0.26,2022-11-17 08:37:25.688908,3020.0,,,,,,
2022-11-17 08:37:25.796259,0.76,2022-11-17 08:37:25.736948,3080.0,,,,,,
2022-11-17 08:37:25.844264,0.83,2022-11-17 08:37:25.785259,3100.0,,,,,,
2022-11-17 08:37:25.891257,0.49,2022-11-17 08:37:25.832266,3180.0,,,,,,
2022-11-17 08:37:25.936692,0.28,2022-11-17 08:37:25.881258,3120.0,,,,,,
2022-11-17 08:37:25.984692,0.33,2022-11-17 08:37:25.928683,3030.0,,,,,,
2022-11-17 08:37:26.036799,0.21,2022-11-17 08:37:26.002736,2950.0,,,,,,
2022-11-17 08:37:26.087813,0.35,2022-11-17 08:37:26.049800,3090.0,,,,,,
2022-11-17 08:37:26.144795,0.95,2022-11-17 08:37:26.095795,3220.0,,,,,,
2022-11-17 08:37:26.190795,1.47,2022-11-17 08:37:26.136824,3050.0,,,,,,
2022-11-17 08:37:26.240795,0.92,2022-11-17 08:37:26.184795,3080.0,,,,,,
2022-11-17 08:37:26.290796,-0.18,2022-11-17 08:37:26.232796,3070.0,,,,,,
2022-11-17 08:37:26.340822,-0.09,2022-11-17 08:37:26.280797,3030.0,,,,,,
2022-11-17 08:37:26.389399,-0.07,2022-11-17 08:37:26.328797,3200.0,,,,,,
2022-11-17 08:37:26.438075,-0.1,2022-11-17 08:37:26.376401,3200.0,,,,,,
2022-11-17 08:37:26.490040,-11.28,2022-11-17 08:37:26.424088,2920.0,,,,,,
2022-11-17 08:37:26.540054,-23.96,2022-11-17 08:37:26.473070,2850.0,,,,,,
2022-11-17 08:37:26.589654,-30.83,2022-11-17 08:37:26.520071,3090.0,,,,,,
2022-11-17 08:37:26.640542,-33.4,2022-11-17 08:37:26.568075,3120.0,,,,,,
2022-11-17 08:37:26.689652,-35.76,2022-11-17 08:37:26.616690,3050.0,,,,,,
2022-11-17 08:37:26.738887,-38.68,2022-11-17 08:37:26.680651,2810.0,,,,,,
2022-11-17 08:37:26.790285,-38.73,2022-11-17 08:37:26.727861,2580.0,,,,,,
2022-11-17 08:37:26.841327,-38.95,2022-11-17 08:37:26.775985,2280.0,,,,,,
2022-11-17 08:37:26.890329,-39.09,2022-11-17 08:37:26.824327,1900.0,,,,,,
2022-11-17 08:37:26.939442,-38.56,2022-11-17 08:37:26.872372,1730.0,,,,,,
2022-11-17 08:37:26.991644,-37.51,2022-11-17 08:37:26.920362,1490.0,,,,,,
2022-11-17 08:37:27.041649,-37.23,2022-11-17 08:37:26.968698,1280.0,,,,,,
2022-11-17 08:37:27.087701,-36.79,2022-11-17 08:37:27.016662,1090.0,,,,,,
2022-11-17 08:37:27.133695,-35.76,2022-11-17 08:37:27.064706,990.0,,,,,,
2022-11-17 08:37:27.187748,-35.31,2022-11-17 08:37:27.112703,960.0,,,,,,
2022-11-17 08:37:27.237683,-35.05,2022-11-17 08:37:27.159709,730.0,,,,,,
2022-11-17 08:37:27.288640,-34.37,2022-11-17 08:37:27.208654,740.0,,,,,,
2022-11-17 08:37:27.335647,-33.62,2022-11-17 08:37:27.255642,910.0,,,,,,
