Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-12-05 09:17:30.572930,-0.01,2022-12-05 09:17:30.588693,1600.0,2022-12-05 09:17:46.646130,1.5185666666666673,2022-12-05 09:17:47.331547,19.225761040070548,2022-12-05 09:17:47.331547,61830.0
2022-12-05 09:17:30.619010,-0.01,2022-12-05 09:17:30.640008,1550.0,2022-12-05 09:17:53.284424,1.0766499999999997,2022-12-05 09:17:53.877695,20.548070066401,2022-12-05 09:17:53.877695,59330.0
2022-12-05 09:17:30.665245,-0.02,2022-12-05 09:17:30.680991,1500.0,2022-12-05 09:17:56.213700,0.01775,2022-12-05 09:18:01.271183,21.772923660948702,2022-12-05 09:18:01.271747,56350.0
2022-12-05 09:17:30.712144,-0.02,2022-12-05 09:17:30.730146,1470.0,2022-12-05 09:17:56.572361,0.03735,2022-12-05 09:18:12.283038,18.795886952394383,2022-12-05 09:18:12.284039,59260.0
2022-12-05 09:17:30.762041,-0.02,2022-12-05 09:17:30.781043,1610.0,2022-12-05 09:17:59.926772,1.0230833333333331,2022-12-05 09:18:12.817213,47.93634342854282,2022-12-05 09:18:12.817213,22960.0
2022-12-05 09:17:30.812151,-0.02,2022-12-05 09:17:30.828154,1570.0,2022-12-05 09:18:07.055140,1.0547500000000003,2022-12-05 09:18:13.553357,49.12993199542899,2022-12-05 09:18:13.553357,21380.0
2022-12-05 09:17:30.862213,-0.03,2022-12-05 09:17:30.878731,1670.0,2022-12-05 09:18:11.537410,0.086075,2022-12-05 09:18:21.614312,22.591939536729267,2022-12-05 09:18:21.615312,50970.0
2022-12-05 09:17:30.912188,-0.03,2022-12-05 09:17:30.928030,1580.0,2022-12-05 09:18:12.917967,0.17765,2022-12-05 09:18:29.226678,20.70664451946479,2022-12-05 09:18:29.226678,55930.0
2022-12-05 09:17:30.963195,-0.04,2022-12-05 09:17:30.969206,1360.0,2022-12-05 09:18:20.293540,1.2499333333333336,2022-12-05 09:18:37.039458,22.144343126348726,2022-12-05 09:18:37.040457,53320.0
2022-12-05 09:17:31.035456,-0.04,2022-12-05 09:17:31.027218,1590.0,2022-12-05 09:18:28.521774,1.47435,2022-12-05 09:18:45.779184,22.09370317970652,2022-12-05 09:18:45.779184,52590.0
2022-12-05 09:17:31.081926,-0.03,2022-12-05 09:17:31.074987,1660.0,2022-12-05 09:18:32.552346,0.0346916666666666,2022-12-05 09:18:54.131728,21.240146378353984,2022-12-05 09:18:54.131728,54990.0
